name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Hanoi,2025-10-06,29.0,24,26.5,35.5,24,29.2,24.8,90.6,42.2,100,91.67,rain,0,0,35.3,20.5,268.6,1004.1,90.6,8.3,34.1,2.9,2,10,2025-10-06T05:49:05,2025-10-06T17:40:13,0.47,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,VVNB
Hanoi,2025-10-07,28.0,24,24.8,34.4,24,25.1,24.1,95.7,40.0,100,100.0,rain,0,0,36.4,25.9,103.7,1010.9,88.4,7.9,50.7,4.6,2,30,2025-10-07T05:49:23,2025-10-07T17:39:20,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,VVNB
Hanoi,2025-10-08,31.0,24,26.6,36.4,24,28.6,24.0,86.6,5.4,100,45.83,rain,0,0,25.9,11.2,344.0,1013.2,50.8,9.2,152.1,13.3,7,30,2025-10-08T05:49:41,2025-10-08T17:38:28,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,VVNB
Hanoi,2025-10-09,32.0,23,27.8,37.8,23,30.6,23.5,78.6,0.0,0,0.0,,0,0,15.1,11.2,102.9,1012.2,41.9,9.6,204.5,17.7,8,10,2025-10-09T05:50:00,2025-10-09T17:37:36,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,VVNB
Hanoi,2025-10-10,33.0,25,28.6,38.0,25,31.7,23.9,76.9,0.0,0,0.0,,0,0,14.0,11.2,69.7,1011.7,20.5,8.3,238.9,20.7,9,30,2025-10-10T05:50:19,2025-10-10T17:36:44,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,VVNB
Hanoi,2025-10-11,30.0,25,27.6,36.1,25,31.1,24.8,84.8,6.7,100,25.0,rain,0,0,21.2,13.0,207.5,1011.0,71.9,7.2,165.4,14.2,6,30,2025-10-11T05:50:38,2025-10-11T17:35:53,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,VVNB
Hanoi,2025-10-12,33.0,25,28.9,39.1,25,32.7,24.5,78.6,0.0,0,0.0,rain,0,0,18.4,13.0,118.4,1010.3,50.1,8.1,205.4,17.8,8,30,2025-10-12T05:50:58,2025-10-12T17:35:03,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,VVNB
Hanoi,2025-10-13,33.0,25,27.5,40.5,25,30.1,24.9,86.9,10.7,100,41.67,rain,0,0,22.0,25.9,57.7,1011.0,64.6,9.4,105.5,9.0,4,30,2025-10-13T05:51:18,2025-10-13T17:34:13,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,VVNB
Hanoi,2025-10-14,28.0,25,25.7,32.6,25,26.4,24.3,91.7,17.4,100,100.0,rain,0,0,18.4,11.2,27.9,1011.3,80.4,9.7,24.6,2.1,1,30,2025-10-14T05:51:39,2025-10-14T17:33:24,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVNB,remote"
Hanoi,2025-10-15,31.0,24,27.1,37.6,24,29.3,24.2,84.8,5.5,100,91.67,rain,0,0,26.3,18.4,85.9,1011.9,70.4,9.7,68.3,5.8,4,30,2025-10-15T05:52:00,2025-10-15T17:32:36,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,VVNB
Hanoi,2025-10-16,32.0,23,26.6,37.8,23,28.0,23.6,84.6,1.4,100,37.5,rain,0,0,33.8,11.2,359.7,1013.6,55.5,10.3,166.0,14.2,7,30,2025-10-16T05:52:21,2025-10-16T17:31:48,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VVNB,remote"
Hanoi,2025-10-17,33.0,24,28.2,38.0,24,31.0,23.4,77.1,1.0,100,20.83,rain,0,0,19.8,9.4,25.9,1013.7,30.6,11.4,195.1,16.8,7,10,2025-10-17T05:52:43,2025-10-17T17:31:01,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"VVNB,remote"
Hanoi,2025-10-18,33.0,24,28.3,38.0,24,30.7,23.2,75.4,0.4,100,16.67,rain,0,0,21.6,11.2,11.0,1012.9,33.0,9.8,203.5,17.6,8,10,2025-10-18T05:53:05,2025-10-18T17:30:15,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,VVNB
Hanoi,2025-10-19,32.0,25,27.0,39.1,25,28.4,24.1,85.0,3.5,100,37.5,rain,0,0,29.5,33.5,345.3,1012.6,43.5,9.1,181.4,15.7,6,10,2025-10-19T05:53:28,2025-10-19T17:29:29,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,VVNB
Hanoi,2025-10-20,30.0,24,27.0,33.2,24,28.2,21.3,71.1,0.0,0,0.0,,0,0,32.8,20.5,19.7,1013.5,29.3,10.0,203.2,17.4,7,10,2025-10-20T05:53:51,2025-10-20T17:28:44,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,VVNB
Hanoi,2025-10-21,28.0,23,25.3,29.2,23,25.7,17.9,63.6,0.0,0,0.0,,0,0,48.6,24.1,15.8,1015.8,46.3,10.0,247.8,21.4,9,10,2025-10-21T05:54:15,2025-10-21T17:28:01,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,VVNB
