datetime,temp_next_1,temp_next_2,temp_next_3,temp_next_4,temp_next_5
2022-11-07,24.1,24.4,24.6,25.7,26.1
2022-11-08,24.4,24.6,25.7,26.1,25.4
2022-11-09,24.6,25.7,26.1,25.4,25.5
2022-11-10,25.7,26.1,25.4,25.5,25.9
2022-11-11,26.1,25.4,25.5,25.9,27.0
2022-11-12,25.4,25.5,25.9,27.0,26.9
2022-11-13,25.5,25.9,27.0,26.9,26.9
2022-11-14,25.9,27.0,26.9,26.9,26.7
2022-11-15,27.0,26.9,26.9,26.7,25.1
2022-11-16,26.9,26.9,26.7,25.1,25.4
2022-11-17,26.9,26.7,25.1,25.4,25.3
2022-11-18,26.7,25.1,25.4,25.3,26.3
2022-11-19,25.1,25.4,25.3,26.3,22.9
2022-11-20,25.4,25.3,26.3,22.9,23.4
2022-11-21,25.3,26.3,22.9,23.4,23.2
2022-11-22,26.3,22.9,23.4,23.2,26.9
2022-11-23,22.9,23.4,23.2,26.9,27.7
2022-11-24,23.4,23.2,26.9,27.7,27.7
2022-11-25,23.2,26.9,27.7,27.7,25.9
2022-11-26,26.9,27.7,27.7,25.9,15.4
2022-11-27,27.7,27.7,25.9,15.4,15.3
2022-11-28,27.7,25.9,15.4,15.3,17.5
2022-11-29,25.9,15.4,15.3,17.5,17.4
2022-11-30,15.4,15.3,17.5,17.4,16.8
2022-12-01,15.3,17.5,17.4,16.8,17.0
2022-12-02,17.5,17.4,16.8,17.0,16.9
2022-12-03,17.4,16.8,17.0,16.9,16.6
2022-12-04,16.8,17.0,16.9,16.6,16.6
2022-12-05,17.0,16.9,16.6,16.6,16.2
2022-12-06,16.9,16.6,16.6,16.2,18.5
2022-12-07,16.6,16.6,16.2,18.5,18.5
2022-12-08,16.6,16.2,18.5,18.5,18.0
2022-12-09,16.2,18.5,18.5,18.0,18.4
2022-12-10,18.5,18.5,18.0,18.4,17.1
2022-12-11,18.5,18.0,18.4,17.1,18.2
2022-12-12,18.0,18.4,17.1,18.2,19.0
2022-12-13,18.4,17.1,18.2,19.0,16.6
2022-12-14,17.1,18.2,19.0,16.6,14.6
2022-12-15,18.2,19.0,16.6,14.6,16.2
2022-12-16,19.0,16.6,14.6,16.2,19.1
2022-12-17,16.6,14.6,16.2,19.1,18.0
2022-12-18,14.6,16.2,19.1,18.0,19.7
2022-12-19,16.2,19.1,18.0,19.7,19.4
2022-12-20,19.1,18.0,19.7,19.4,18.5
2022-12-21,18.0,19.7,19.4,18.5,17.2
2022-12-22,19.7,19.4,18.5,17.2,19.1
2022-12-23,19.4,18.5,17.2,19.1,15.1
2022-12-24,18.5,17.2,19.1,15.1,13.6
2022-12-25,17.2,19.1,15.1,13.6,14.2
