datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions
2025-10-12,33,25,28.9,39.1,25,32.7,24.5,78.6,0.0,0.0,rain,0,0,18.4,13.0,118.4,1010.3,50.1,8.1,205.4,17.8,8,30,2025-10-12 05:50:58,2025-10-12 17:35:03,0.68,Partially cloudy
2025-10-13,33,25,27.5,40.5,25,30.1,24.9,86.9,10.7,41.67,rain,0,0,22.0,25.9,57.7,1011.0,64.6,9.4,105.5,9.0,4,30,2025-10-13 05:51:18,2025-10-13 17:34:13,0.71,"Rain, Partially cloudy"
2025-10-14,28,25,25.7,32.6,25,26.4,24.3,91.7,17.4,100.0,rain,0,0,18.4,11.2,27.9,1011.3,80.4,9.7,24.6,2.1,1,30,2025-10-14 05:51:39,2025-10-14 17:33:24,0.75,"Rain, Partially cloudy"
2025-10-15,31,24,27.1,37.6,24,29.3,24.2,84.8,5.5,91.67,rain,0,0,26.3,18.4,85.9,1011.9,70.4,9.7,68.3,5.8,4,30,2025-10-15 05:52:00,2025-10-15 17:32:36,0.78,"Rain, Partially cloudy"
2025-10-16,32,23,26.6,37.8,23,28.0,23.6,84.6,1.4,37.5,rain,0,0,33.8,11.2,359.7,1013.6,55.5,10.3,166.0,14.2,7,30,2025-10-16 05:52:21,2025-10-16 17:31:48,0.82,"Rain, Partially cloudy"
2025-10-17,33,24,28.2,38.0,24,31.0,23.4,77.1,1.0,20.83,rain,0,0,19.8,9.4,25.9,1013.7,30.6,11.4,195.1,16.8,7,10,2025-10-17 05:52:43,2025-10-17 17:31:01,0.85,"Rain, Partially cloudy"
2025-10-18,33,24,28.3,38.0,24,30.7,23.2,75.4,0.4,16.67,rain,0,0,21.6,11.2,11.0,1012.9,33.0,9.8,203.5,17.6,8,10,2025-10-18 05:53:05,2025-10-18 17:30:15,0.88,"Rain, Partially cloudy"
2025-10-19,32,25,27.0,39.1,25,28.4,24.1,85.0,3.5,37.5,rain,0,0,29.5,33.5,345.3,1012.6,43.5,9.1,181.4,15.7,6,10,2025-10-19 05:53:28,2025-10-19 17:29:29,0.92,"Rain, Partially cloudy"
2025-10-20,30,24,27.0,33.2,24,28.2,21.3,71.1,0.0,0.0,,0,0,32.8,20.5,19.7,1013.5,29.3,10.0,203.2,17.4,7,10,2025-10-20 05:53:51,2025-10-20 17:28:44,0.95,Partially cloudy
2025-10-21,28,23,25.3,29.2,23,25.7,17.9,63.6,0.0,0.0,,0,0,46.1,24.1,15.8,1015.8,58.7,10.0,196.6,16.9,7,10,2025-10-21 05:54:15,2025-10-21 17:28:01,0.0,Partially cloudy
2025-10-22,26,22,23.5,26.0,22,23.5,15.6,61.4,0.0,0.0,,0,0,40.7,24.1,21.1,1017.6,86.7,10.0,202.5,17.5,8,10,2025-10-22 05:54:39,2025-10-22 17:27:17,0.02,Partially cloudy
2025-10-23,22,18,20.1,22.0,18,20.1,16.0,77.6,1.5,16.67,rain,0,0,29.2,22.3,25.9,1019.6,99.0,10.0,35.4,3.1,1,10,2025-10-23 05:55:04,2025-10-23 17:26:35,0.06,"Rain, Overcast"
2025-10-24,22,20,20.9,22.0,20,20.9,16.7,77.1,0.7,12.5,rain,0,0,19.8,18.4,5.0,1019.0,91.1,10.0,38.8,3.3,2,10,2025-10-24 05:55:29,2025-10-24 17:25:54,0.09,"Rain, Overcast"
2025-10-25,26,21,22.6,26.0,21,22.6,18.0,76.0,0.0,0.0,,0,0,25.2,13.0,338.0,1017.3,65.8,9.7,144.7,12.4,5,10,2025-10-25 05:55:55,2025-10-25 17:25:14,0.12,Partially cloudy
2025-10-26,28,21,24.7,29.2,21,25.0,18.6,70.4,0.0,0.0,,0,0,24.5,14.8,4.4,1016.8,53.3,9.1,156.9,13.4,6,10,2025-10-26 05:56:21,2025-10-26 17:24:34,0.16,Partially cloudy
2025-10-27,27,24,25.0,27.9,24,25.1,17.7,64.2,0.0,0.0,,0,0,30.6,20.5,8.2,1017.4,41.7,10.0,172.8,15.0,6,10,2025-10-27 05:56:48,2025-10-27 17:23:56,0.19,Partially cloudy
2025-10-28,28,24,25.4,28.8,24,25.5,17.8,63.3,0.0,0.0,,0,0,28.8,16.6,18.6,1016.9,70.5,10.0,184.7,16.1,6,10,2025-10-28 05:57:15,2025-10-28 17:23:19,0.22,Partially cloudy
2025-10-29,27,22,25.1,27.9,22,25.3,18.5,67.2,0.0,0.0,,0,0,20.2,9.4,34.4,1015.8,96.0,10.0,211.2,18.3,8,10,2025-10-29 05:57:43,2025-10-29 17:22:42,0.25,Overcast
2025-10-30,24,22,22.7,24.0,22,22.7,21.5,93.4,2.2,54.17,rain,0,0,21.6,13.0,1.9,1016.1,96.0,6.8,57.3,4.8,3,10,2025-10-30 05:58:11,2025-10-30 17:22:07,0.29,"Rain, Overcast"
2025-10-31,23,21,21.8,23.0,21,21.8,21.0,95.3,10.5,91.67,rain,0,0,18.7,14.8,7.1,1016.8,99.0,7.7,29.5,2.4,1,10,2025-10-31 05:58:40,2025-10-31 17:21:32,0.32,"Rain, Overcast"
2025-11-01,21,20,20.5,21.0,20,20.5,19.2,92.2,8.4,66.67,rain,0,0,20.5,20.5,16.2,1017.8,99.5,8.7,30.6,2.7,1,10,2025-11-01 05:59:10,2025-11-01 17:20:59,0.36,"Rain, Overcast"
2025-11-02,20,19,19.5,20.0,19,19.5,18.2,92.6,0.8,25.0,rain,0,0,22.0,16.6,4.8,1018.5,100.0,8.8,29.1,2.5,1,10,2025-11-02 05:59:40,2025-11-02 17:20:27,0.39,"Rain, Overcast"
2025-11-03,19,18,18.2,19.0,18,18.2,17.0,92.7,2.8,50.0,rain,0,0,25.9,18.4,350.6,1018.6,100.0,8.5,25.6,2.0,1,10,2025-11-03 06:00:10,2025-11-03 17:19:56,0.42,"Rain, Overcast"
2025-11-04,23,18,19.9,23.0,18,19.9,17.0,83.7,9.5,75.0,rain,0,0,23.8,14.8,359.4,1017.8,98.5,9.7,21.3,1.8,1,10,2025-11-04 06:00:41,2025-11-04 17:19:26,0.46,"Rain, Overcast"
2025-11-05,24,19,21.4,24.0,19,21.4,17.9,80.9,0.0,0.0,,0,0,18.0,11.2,57.8,1014.7,87.0,10.0,78.4,6.8,3,10,2025-11-05 06:01:13,2025-11-05 17:18:58,0.5,Partially cloudy
2025-11-06,25,20,22.8,25.0,20,22.8,20.2,85.6,0.0,0.0,,0,0,16.2,14.8,67.8,1013.2,85.8,8.7,123.6,10.6,5,10,2025-11-06 06:01:45,2025-11-06 17:18:30,0.52,Partially cloudy
2025-11-07,25,21,22.8,25.0,21,22.8,21.4,91.8,14.9,75.0,rain,0,0,30.2,13.0,330.6,1012.3,97.4,6.9,26.4,2.3,1,10,2025-11-07 06:02:17,2025-11-07 17:18:04,0.56,"Rain, Overcast"
2025-11-08,29,23,25.8,34.4,23,27.1,23.4,87.0,17.3,100.0,rain,0,0,24.1,22.3,85.6,1012.7,85.7,9.5,71.0,6.2,3,10,2025-11-08 06:02:50,2025-11-08 17:17:39,0.59,"Rain, Partially cloudy"
2025-11-09,28,24,25.3,32.6,24,25.9,24.3,94.4,14.7,100.0,rain,0,0,18.4,11.2,46.2,1012.0,88.9,6.3,45.6,3.8,3,10,2025-11-09 06:03:24,2025-11-09 17:17:15,0.62,"Rain, Partially cloudy"
2025-11-10,24,22,23.2,24.0,22,23.2,22.0,92.8,1.0,29.17,rain,0,0,20.9,16.6,57.9,1011.0,95.0,7.6,61.1,5.4,3,10,2025-11-10 06:03:58,2025-11-10 17:16:53,0.66,"Rain, Overcast"
2025-11-11,25,22,23.0,25.0,22,23.0,19.1,79.2,0.6,20.83,rain,0,0,26.6,13.0,19.9,1012.3,98.8,10.0,28.5,2.4,2,10,2025-11-11 06:04:32,2025-11-11 17:16:31,0.69,"Rain, Overcast"
2025-11-12,26,21,23.0,26.0,21,23.0,17.1,70.2,0.0,0.0,,0,0,34.6,18.4,1.1,1015.5,86.1,9.9,108.6,9.3,6,10,2025-11-12 06:05:07,2025-11-12 17:16:11,0.75,Partially cloudy
2025-11-13,27,20,23.3,27.6,20,23.4,15.7,63.3,0.0,0.0,,0,0,34.6,16.6,351.7,1018.0,47.9,9.9,188.9,16.2,8,10,2025-11-13 06:05:42,2025-11-13 17:15:53,0.76,Partially cloudy
2025-11-14,27,17,22.1,26.8,17,22.1,15.0,67.4,0.0,0.0,,0,0,15.1,11.2,42.7,1017.9,12.7,9.7,224.6,19.4,8,10,2025-11-14 06:06:18,2025-11-14 17:15:35,0.79,Clear
2025-11-15,28,18,22.4,28.2,18,22.4,15.8,68.0,0.0,0.0,,0,0,15.5,18.4,354.0,1019.5,1.5,9.6,224.2,19.5,8,10,2025-11-15 06:06:54,2025-11-15 17:15:19,0.83,Clear
2025-11-16,27,20,22.9,28.1,20,22.9,18.0,74.3,0.0,0.0,,0,0,23.0,13.0,299.2,1019.8,89.2,15.0,64.0,5.4,3,10,2025-11-16 06:07:31,2025-11-16 17:15:04,0.86,Partially cloudy
