datetime,temp,tempmax,tempmin,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,cond_6h_0,cond_6h_1,cond_6h_2,cond_6h_3,temp_mean_6h_next0,temp_mean_6h_next1,temp_mean_6h_next2,temp_mean_6h_next3,temp_max_6h_next0,temp_max_6h_next1,temp_max_6h_next2,temp_max_6h_next3,temp_min_6h_next0,temp_min_6h_next1,temp_min_6h_next2,temp_min_6h_next3,feelslike_mean_6h_next0,feelslike_mean_6h_next1,feelslike_mean_6h_next2,feelslike_mean_6h_next3,feelslike_max_6h_next0,feelslike_max_6h_next1,feelslike_max_6h_next2,feelslike_max_6h_next3,feelslike_min_6h_next0,feelslike_min_6h_next1,feelslike_min_6h_next2,feelslike_min_6h_next3,dew_mean_6h_next0,dew_mean_6h_next1,dew_mean_6h_next2,dew_mean_6h_next3,dew_max_6h_next0,dew_max_6h_next1,dew_max_6h_next2,dew_max_6h_next3,dew_min_6h_next0,dew_min_6h_next1,dew_min_6h_next2,dew_min_6h_next3,solarradiation_max,solarenergy_max,uvindex_max
2015-09-27,29.629166666666666,34.1,26.3,42.1,26.3,35.425000000000004,25.6375,80.4525,4.3,11.504166666666668,7.991666666666667,151.24166666666667,1007.6291666666666,29.983333333333334,8.141666666666667,149.55833333333334,12.9,1.5,Rain,"Rain, Partially cloudy",Partially cloudy,Clear,26.8,29.333333333333332,33.0,29.383333333333336,27.0,32.0,34.1,31.0,26.3,26.7,32.0,28.0,29.599999999999998,35.56666666666666,40.36666666666667,36.166666666666664,31.2,39.4,42.1,38.2,26.3,30.4,39.2,33.6,25.933333333333334,25.849999999999998,24.833333333333332,25.933333333333334,26.0,26.1,25.5,26.7,25.7,25.0,24.0,25.0,599.0,2.2,6.0
2015-09-28,30.28333333333333,34.1,27.0,40.9,31.2,36.475,25.34583333333333,76.50333333333333,0.8,13.9125,7.908333333333334,106.80416666666667,1007.8791666666666,19.166666666666668,8.2125,214.95833333333334,18.6,2.125,Clear,"Rain, Partially cloudy",Partially cloudy,Clear,27.516666666666666,29.849999999999998,33.699999999999996,30.066666666666666,28.1,32.0,34.1,31.5,27.0,27.0,33.0,28.5,32.550000000000004,36.71666666666667,40.03333333333333,36.6,33.9,40.9,40.7,38.1,31.2,31.2,39.3,34.6,26.183333333333334,25.95,23.883333333333336,25.366666666666664,26.7,26.9,25.0,26.7,26.0,24.5,23.0,23.5,816.4,2.9,8.0
2015-09-29,30.758333333333336,35.5,27.0,41.6,31.2,37.045833333333334,25.15833333333333,73.98833333333333,1.2000000000000002,10.845833333333333,6.220833333333334,145.62916666666666,1007.8375,20.183333333333334,6.9125000000000005,221.2875,19.0,2.125,Clear,Clear,Partially cloudy,Clear,27.78333333333333,29.916666666666668,34.516666666666666,30.816666666666666,28.3,33.0,35.5,32.0,27.0,27.0,33.5,30.0,33.1,36.666666666666664,40.300000000000004,38.11666666666667,34.4,40.6,41.6,39.2,31.2,31.2,39.0,37.0,26.066666666666666,25.849999999999998,23.183333333333334,25.53333333333333,26.3,26.4,24.5,26.3,26.0,25.0,21.5,24.5,728.5,2.6,7.0
2015-09-30,29.933333333333334,34.0,25.5,39.3,25.5,34.75833333333333,24.295833333333334,73.10916666666667,1.462,12.654166666666667,8.525,134.42916666666667,1010.3541666666666,48.65,7.95,189.32083333333333,16.2,1.9166666666666667,Partially cloudy,Partially cloudy,Partially cloudy,Clear,27.566666666666666,29.099999999999998,33.15,29.916666666666668,29.5,32.5,34.0,31.5,25.5,26.0,31.7,29.0,31.316666666666666,33.71666666666667,38.416666666666664,35.583333333333336,36.6,38.6,39.3,38.5,25.5,26.0,37.4,33.6,24.95,24.633333333333336,23.066666666666666,24.53333333333333,26.4,25.5,25.1,26.3,24.0,24.0,22.0,23.5,700.6,2.5,7.0
2015-10-01,29.604166666666668,34.1,24.0,39.7,24.0,34.300000000000004,24.1375,73.82708333333333,5.6000000000000005,13.470833333333333,8.200000000000001,165.0375,1012.5500000000001,42.2125,6.78695652173913,213.77083333333334,18.4,2.125,Clear,Partially cloudy,Partially cloudy,"Rain, Partially cloudy",27.900000000000002,30.066666666666666,33.083333333333336,27.366666666666664,29.0,32.5,34.1,31.1,27.0,27.5,32.0,24.0,32.5,35.88333333333333,38.416666666666664,30.400000000000002,33.6,39.7,39.6,38.7,30.6,31.7,36.8,24.0,25.083333333333332,24.866666666666664,23.183333333333334,23.416666666666668,25.9,26.3,24.3,26.3,24.0,23.5,22.0,21.5,829.4,3.0,8.0
2015-10-02,27.616666666666664,32.1,24.5,36.6,24.5,30.208333333333332,23.633333333333336,79.89083333333333,11.14,16.691666666666666,9.2875,206.90833333333333,1012.0458333333332,54.762499999999996,8.245833333333334,149.96666666666667,12.9,1.4583333333333333,Partially cloudy,Partially cloudy,Partially cloudy,Clear,24.900000000000002,27.316666666666666,30.616666666666664,27.633333333333336,25.2,30.0,32.1,28.5,24.5,25.0,29.5,26.8,24.900000000000002,29.45,35.28333333333333,31.2,25.2,34.1,36.6,32.0,24.5,25.0,34.4,30.1,23.433333333333334,23.7,23.333333333333332,24.066666666666666,24.0,24.2,24.7,25.1,22.5,23.0,22.1,23.0,728.0,2.6,7.0
2015-10-03,28.566666666666666,32.1,25.7,37.5,25.7,31.591666666666665,23.829166666666666,76.65458333333333,0.11,12.995833333333332,5.654166666666666,131.22916666666666,1011.4833333333332,39.15416666666667,7.066666666666666,158.70833333333334,13.7,1.5,Clear,Partially cloudy,Partially cloudy,Clear,26.2,28.116666666666664,31.46666666666667,28.483333333333334,27.0,30.5,32.1,30.0,25.7,26.4,30.7,27.7,26.75,31.03333333333333,35.86666666666667,32.71666666666667,30.3,35.3,37.5,34.6,25.7,26.4,34.7,30.9,24.349999999999998,24.2,22.766666666666666,24.0,24.7,25.0,24.3,25.4,24.0,23.5,21.5,22.5,695.4,2.5,7.0
2015-10-04,28.849999999999998,32.0,25.5,35.8,25.5,31.22083333333333,22.116666666666664,68.19833333333334,2.4,27.71666666666667,10.491666666666667,291.9583333333333,1010.225,55.875,8.575000000000001,194.78333333333333,16.9,1.875,Clear,Clear,Overcast,Overcast,26.516666666666666,28.7,31.316666666666666,28.866666666666664,27.5,31.5,32.0,29.3,26.0,25.5,30.5,27.9,27.566666666666666,31.583333333333332,34.78333333333333,30.95,30.5,35.2,35.8,32.2,26.0,25.5,32.8,30.3,23.333333333333332,22.833333333333332,21.78333333333333,20.516666666666666,24.7,24.6,22.7,23.8,22.5,21.0,20.5,19.0,811.0,2.9,8.0
2015-10-05,27.3875,31.2,24.0,36.1,24.0,28.791666666666668,20.8625,68.11791666666666,0.0,15.358333333333334,9.887500000000001,139.45833333333334,1010.8166666666666,83.75,9.9,121.14999999999999,10.5,1.1666666666666667,Overcast,Overcast,Partially cloudy,Overcast,26.666666666666668,26.433333333333334,30.166666666666668,26.28333333333333,27.5,28.5,31.2,27.7,24.0,24.0,28.5,25.0,28.2,27.166666666666668,32.916666666666664,26.883333333333336,29.6,30.7,36.1,29.7,24.0,24.0,30.5,25.0,20.833333333333332,21.0,21.099999999999998,20.516666666666666,21.9,21.6,23.4,21.7,20.0,20.0,20.0,20.0,617.5,2.2,6.0
2015-10-06,27.349999999999998,31.0,24.0,33.1,24.0,28.454166666666666,20.1125,65.84833333333334,0.0,10.929166666666667,8.329166666666667,92.62083333333334,1012.2083333333334,53.025,10.233333333333333,234.50833333333333,20.3,2.375,Overcast,Partially cloudy,Partially cloudy,Clear,24.46666666666667,26.483333333333334,30.566666666666666,27.883333333333336,25.1,29.0,31.0,28.5,24.0,24.0,29.5,26.9,24.46666666666667,27.433333333333334,31.983333333333334,29.933333333333334,25.1,31.3,33.1,30.6,24.0,24.0,30.8,29.2,19.783333333333335,20.45,19.05,21.166666666666668,20.4,22.3,20.2,24.4,18.8,19.0,18.0,19.0,879.8,3.2,9.0
